sizes_2D,maurer_mean_2D,maurer_std_2D,felzenszwalb_mean_2D,felzenszwalb_std_2D,felzenszwalb_inplace_mean_2D,felzenszwalb_inplace_std_2D,felzenszwalb_threaded_mean_2D,felzenszwalb_threaded_std_2D,felzenszwalb_threaded_mean_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_threaded_mean_2D_nonthread,felzenszwalb_threaded_std_2D_nonthread,felzenszwalb_threaded_mean_2D_worksteal,felzenszwalb_threaded_std_2D_worksteal,felzenszwalb_gpu_mean_2D,felzenszwalb_gpu_std_2D,wenbo_inplace_mean_2D,wenbo_inplace_std_2D,wenbo_threaded_mean_2D,wenbo_threaded_std_2D,wenbo_threaded_mean_2D_depth,wenbo_threaded_std_2D_depth,wenbo_threaded_mean_2D_nonthread,wenbo_threaded_std_2D_nonthread,wenbo_threaded_mean_2D_worksteal,wenbo_threaded_std_2D_worksteal,wenbo_gpu_mean_2D,wenbo_gpu_std_2D
1.0,208.9443448275862,900.4053750632514,465.53817582417577,2274.4514550765803,205.2126552462527,1040.8684625688131,69598.73,38129.60886364178,166.45093922651935,382.4148813380491,97.95726618705035,367.5348115272033,6477.87,53860.68415451911,335137.58,1.9207190940149354e6,53.965160965794766,478.0503397402242,66900.99,28756.440936065625,129.03779874213836,498.29011205912104,72.52758341759353,516.1273053839037,6163.8,61582.96705862075,10824.743333333334,3982.7245391451324
121.0,4330.937777777777,45476.18039398541,8973.351428571426,72069.6121899011,3281.4,578.5352762469561,57078.82,34783.0824638957,98919.19,145157.87352937018,2878.9411111111112,519.8740892025168,165147.45,59547.66646944024,624039.2749623683,1.8134315834371662e6,726.6310714285714,2893.964898769045,77004.33,24682.54591930107,109689.87,40707.91898205907,1050.368245614035,4284.39424480291,201980.82,199835.53771124102,15109.41,7967.475165819586
441.0,9383.09,40819.836693434576,24406.21,325260.9489270512,9822.48,1710.9108795815325,66442.3,33601.26189877576,328879.13,1.6789586723674268e6,9487.5775,965.96715950858,352541.56,175905.3851399055,535189.9849072876,1.0080904707453116e6,3703.028888888889,1133.5691215612146,122971.09,29101.43674415332,453753.82,1.6301593558317993e6,3369.07125,980.6158594448783,487822.54,567460.7691888533,23086.79,300348.08711200254
1024.0,181121.83,124293.5886684004,57645.39,495862.47344602016,20292.71,6097.62313993704,92207.07,356319.5300874867,135784.44,145082.07378825228,19492.09,2470.5272276132146,339107.96,724411.436733024,782304.8166220683,1.3626377074941294e6,5938.364285714285,2544.0828685079446,132130.65,33760.47858915742,249262.12,1.1666093094576255e6,5431.548571428571,1582.1784246784482,406484.59,339532.0964091335,29229.81,430160.58506708656
1764.0,100652.77,568316.6258478175,76016.56,485366.3645171006,52855.19,233521.76075119493,150047.35,456496.4672452987,546444.8763644465,2.059485746167898e6,43756.83,9711.626275737339,734831.9874851013,1.0819114561030448e6,3.316941281373844e6,5.323174412657141e6,8996.592,2855.690971136103,107732.5,38845.2969284487,328781.42,1.0597403019521066e6,9372.965,2496.362962707779,530708.8080678039,478440.249973523,16647.59,201154.39657466617
2704.0,188373.13,1.2918531456887838e6,122761.8,643681.6537853958,63314.23,356869.30940178427,102254.84,406449.52961048775,203420.9,516153.35637378134,53044.67,5897.788736662091,384730.51,107004.94120312428,499149.70265094243,727253.6623942774,15592.77,7403.451211163862,97752.13,26631.877236717937,243763.1,370886.30321081023,13204.29,4334.6595625553255,445089.77,359992.4012437516,11794.36,5350.613338366891
3844.0,154721.76,1.7297004963002105e6,179256.28,764182.3097054848,110161.69,630898.3559836734,119963.45,517713.2153639057,227038.81,696887.7590556858,84108.23,10933.301558788065,530137.8751013788,4.1746997301680003e6,490328.74,781478.209451292,17103.78,4777.9393656740995,92309.42,34908.58605274095,261367.29,423835.43178028334,18096.38,4864.5603388517075,527634.6841097638,182338.26323658804,11599.52,6440.682573206109
5184.0,198097.88,1.7648585719777693e6,254754.17,887876.2434241466,155384.4,604815.9500062631,168157.88,800759.9250747164,220534.29,274774.170623223,129959.64,12617.30211660441,470285.96,2.803570755199308e6,520259.0155331654,850985.9802952888,32152.02,5606.700761494489,94017.98,35566.97425541522,240931.19,379399.6419700691,36226.88,7172.056002593009,468887.86,151426.05631684916,11531.01,5980.512522593969
6724.0,197631.45,1.567445254912149e6,339068.49,1.067166587604152e6,213939.34,637932.2797521058,164225.23,666820.1046726515,196699.9,221586.1132529488,163218.77,18545.808296961302,384671.55,1.0826017648894407e6,683350.4200523344,1.3085230899069863e6,47361.07,7945.606756049042,104653.91,32422.465118129625,195182.37,134115.4236874722,49741.55,8756.368082470015,420068.94,98354.0413151422,18725.4,378757.1230784554
8649.0,231075.65,1.5563608274107226e6,452952.38,1.2383096453238602e6,290003.85,692035.4217095168,177889.3,738589.903462036,261452.67,394409.76459655754,235526.21,25665.670860158138,544689.8357064623,1.3132593768204977e6,616417.4042394942,986725.4561234441,69519.4,14304.441245429132,111848.41,32034.779508866894,269842.07,352769.03620415105,69256.37,13182.229725700967,567955.3237822349,118125.85507416468,12653.6,6752.841115139066
