sizes_3D,maurer_minimum_3D,maurer_std_3D,felzenszwalb_threaded_minimum_3D_depth,felzenszwalb_threaded_std_3D_depth,felzenszwalb_gpu_minimum_3D,felzenszwalb_gpu_std_3D,wenbo_threaded_minimum_3D,wenbo_threaded_std_3D,wenbo_gpu_minimum_3D,wenbo_gpu_std_3D
1.0,173.9946380697051,921.3427017266433,182.8985507246377,18.16980307920393,164300.0,615224.3694306967,39000.0,18870.742101323034,13100.0,5008.0255682164
1331.0,51000.0,585532.9526301305,60700.0,39640.39119056438,834600.0,88081.49475158779,135800.0,156517.29707647642,14000.0,3792.340647826738
9261.0,171400.0,911482.3941291904,177900.0,898232.2400137641,3.8706e6,262057.83764819455,141400.0,5.168577149939247e6,15600.0,4262.682016453647
32768.0,371400.0,1.0442112999384372e6,340900.0,819513.5864615737,1.17565e7,378060.82962085283,194400.0,4.212908838500756e6,14200.0,321687.770397648
74088.0,743500.0,2.270151896225652e6,890200.0,694268.8603619538,2.12693e7,540109.3976693606,381300.0,6.018274010456303e6,14100.0,560692.0100161748
140608.0,1.4378e6,2.423571093845559e6,1.5521e6,1.384005680912787e6,3.42175e7,780971.3631547394,595100.0,6.167924584366502e6,13700.0,985988.2195683252
238328.0,2.1944e6,2.63118703591464e6,2.1857e6,1.5620882573472927e6,5.48645e7,395085.1126889173,892500.0,4.762534225836565e6,13500.0,1.4687936243688501e6
373248.0,3.541e6,2.8007167499462427e6,3.5266e6,1.3158851366015417e6,7.80671e7,455643.3999309829,1.1632e6,5.877838453550361e6,15000.0,1.891144537645164e6
551368.0,5.7423e6,2.993117252116949e6,4.9331e6,2.4657974565811437e6,1.038227e8,1.819125968169158e6,1.7689e6,4.6336015626053605e6,14600.0,3.3765436635015015e6
804357.0,7.7816e6,3.573430016435231e6,6.8348e6,2.2071301412075944e6,1.403553e8,1.5887838751117554e6,2.3805e6,3.681175417637894e6,14700.0,5.883765607473708e6
1.092727e6,1.09856e7,3.7988831054965286e6,1.29135e7,1.953094350797543e6,1.77022e8,1.287164880576051e6,3.1011e6,3.643390908225401e6,14300.0,9.85602581480273e6
1.442897e6,1.49935e7,4.299455244522107e6,1.83721e7,2.5932597277408256e6,2.184864e8,1.781375912506981e6,4.0349e6,3.780551490464504e6,14800.0,1.4892522789612852e7
1.860867e6,1.83885e7,5.610829942220431e6,2.39749e7,2.3772423295034766e6,2.632386e8,2.6664856346665435e6,4.9606e6,3.831346897451269e6,14600.0,2.2715990415601205e7
2.352637e6,2.56475e7,5.7329033817918105e6,3.56111e7,3.0110626359852105e6,3.104208e8,2.261043300484683e6,6.1629e6,4.018289176270536e6,14800.0,2.880335866870063e7
2.985984e6,2.95344e7,6.278955470260279e6,4.54437e7,2.7421894566424727e6,3.720623e8,1.8901944733949327e6,6.2281e6,4.365597754223051e6,13900.0,3.7324155467883386e7
3.652264e6,3.92789e7,7.981903199150931e6,5.9049e7,2.4439604676614734e6,4.360177e8,1.943746562152275e6,9.2561e6,3.8017183984034345e6,15100.0,4.886131677682141e7
4.410944e6,4.45344e7,8.192779577936315e6,7.38549e7,2.8683405210648174e6,4.996141e8,1.261949759697271e6,1.09475e7,4.861689055957634e6,15300.0,6.1574662816357486e7
5.268024e6,5.9015e7,8.841604842586398e6,7.80098e7,4.543618222817844e6,5.666572e8,954336.4803766948,1.29763e7,4.416419807963294e6,15400.0,7.431019885554668e7
6.229504e6,6.15047e7,1.0180462561430467e7,1.061617e8,4.424868009013593e6,6.398956e8,1.811228173682945e6,1.32802e7,4.419692726570277e6,15200.0,9.050614945004067e7
7.301384e6,8.04748e7,1.123690522682059e7,1.309068e8,8.241081167154807e6,7.162738e8,2.1514696161107225e6,1.78798e7,4.310538076990703e6,15600.0,1.0509367303319937e8
8.615125e6,9.33718e7,1.2728323689263923e7,1.393846e8,5.940539621750256e6,7.994116e8,310631.76178325905,2.21207e7,4.27252982761009e6,15500.0,1.1857226270722964e8
9.938375e6,1.18564e8,1.3128885660190418e7,1.919497e8,6.203569139549157e6,8.923683e8,1.6473680960853891e6,2.51837e7,4.466682475128983e6,15700.0,1.3286555889443964e8
1.1390625e7,1.32491e8,1.477375871407635e7,2.067966e8,6.393282395936357e6,9.848848e8,3.1550198987750723e6,2.88474e7,4.959570205466104e6,15500.0,1.428505771750859e8
1.2977875e7,1.417176e8,1.3646692666256076e7,2.48846e8,5.886642001586482e6,1.0685194e9,1.777488283505689e6,3.23914e7,4.716766690674348e6,15900.0,1.5622912457260075e8
1.4706125e7,1.650091e8,1.7527329273018606e7,2.996727e8,9.156599284050092e6,1.1602637e9,1.670950516023739e6,3.7116e7,5.413065032900038e6,15400.0,1.652381228993758e8
1.6777216e7,2.14242e8,2.1862193250307433e7,3.80444e8,6.1617377277759425e6,1.2778487e9,1.84391019665637e6,6.59365e7,7.285077158538871e6,14400.0,1.801629103860993e8
1.8821096e7,2.174943e8,2.0680881653674383e7,3.804244e8,8.194890642298453e6,1.3902789e9,1.467449150453489e6,4.53647e7,6.066609787154608e6,15600.0,1.9410249502383718e8
2.1024576e7,2.302617e8,2.1164905723641474e7,4.688152e8,6.919387579955062e6,1.5015841e9,1.7786661432564198e6,4.9472e7,6.459835158842396e6,15800.0,2.0694980890897033e8
2.3393656e7,2.697433e8,2.66633017634519e7,4.216074e8,2.3284862415433805e7,1.6198945e9,3.400620718339521e6,5.63134e7,6.31667356251407e6,16200.0,2.2882573821246478e8
2.5934336e7,2.648773e8,2.512213807576713e7,5.288581e8,1.30131829502069e7,1.7326681e9,3.17323932336238e6,5.0515e7,7.911504388705921e6,16000.0,2.303484802687818e8
2.8652616e7,3.252804e8,2.8205408828517117e7,5.440195e8,1.20449800069365e7,1.8722836e9,1.6800739358730614e6,6.83281e7,6.597033513147209e6,16000.0,2.519563937704698e8
3.1855013e7,3.619014e8,3.197941334495622e7,5.861887e8,2.2598974167893354e7,2.0101491e9,1.9934831250853366e6,7.9583e7,7.710488098069138e6,16600.0,2.5340659938380536e8
3.4965783e7,4.153993e8,3.7842069824226536e7,7.506142e8,1.407135858454193e7,2.1419875e9,817635.1998293615,9.55179e7,1.6572431650665531e7,18600.0,2.907985754354893e8
3.8272753e7,4.503308e8,9.844463322671445e7,7.457663e8,3.455101880519107e7,2.3056971e9,1.2178016354617584e6,1.030959e8,1.5119359081833674e7,17000.0,2.839051595268378e8
4.1781923e7,4.638288e8,9.596288216161959e7,9.300926e8,1.3912476187748415e7,2.439538e9,886402.5289524695,1.145946e8,1.923362870729859e7,16300.0,3.012368594367425e8
4.5499293e7,5.134976e8,1.039607130736067e8,1.0246781e9,5.003664030687911e6,2.6159352e9,1.9600999974491098e6,1.152704e8,8.80515323915767e6,16800.0,3.180966130028639e8
4.9430863e7,5.940665e8,1.0525961721620569e8,1.0238842e9,6.29571980585858e7,2.7458473e9,3.650721600588026e6,1.243537e8,1.0550517035464466e7,19900.0,3.3354235044821376e8
5.4010152e7,6.17591e8,1.2249345292857784e8,1.1980303e9,2.902919247538588e7,2.947145e9,2.730775678264328e6,1.290739e8,9.494430671835238e6,18100.0,3.3607214177843386e8
5.8411072e7,6.353405e8,1.2783726483949186e8,1.3098957e9,1.2306680965333423e7,3.1226502e9,2.7001579546389505e6,1.40335e8,1.0228972018348515e7,16800.0,3.6557939999019027e8
6.3044792e7,7.174068e8,1.247911217548428e8,1.2900614e9,9.690287457113522e7,3.2929626e9,4.626175405234869e6,1.535101e8,1.0923763325740615e7,17400.0,3.6255852432742476e8
6.7917312e7,6.860753e8,1.252653104867425e8,1.5054083e9,1.2264044383753128e7,3.4665377e9,1.2642362140834283e6,1.324249e8,1.5640474657371456e7,19000.0,3.728834284824333e8
7.3034632e7,8.351508e8,1.3783892970662534e8,1.5349139e9,8.768740025225973e6,3.660026e9,4.068550997591157e6,1.785255e8,1.443913690088211e7,17400.0,3.91282390696081e8
7.8953589e7,9.073894e8,1.685047081846914e8,1.6427912e9,1.1454575010448882e7,3.8858601e9,5.5942752993573705e6,1.99601e8,1.3987119052648796e7,18100.0,4.2246159069463885e8
8.4604519e7,1.0080933e9,2.004561172711948e8,1.9660809e9,3.3981748338973574e7,4.0802227e9,1.600295782910147e7,2.131889e8,1.303482644617257e7,19400.0,4.29379736474579e8
9.0518849e7,1.0912362e9,2.3340521016710222e8,1.8990616e9,2.713480636458151e7,4.3220492e9,416061.6300501646,2.281133e8,1.5193506711930469e7,17800.0,4.364379416492277e8
