epoch_times_dice,epoch_times_dice_hd
9.194497723e11,2.311147111e11
2.054055e9,2.3356939e9
1.8956473e9,2.2626647e9
1.8501531e9,2.3733235e9
2.6844188e9,2.5696385e9
2.5637845e9,2.3583041e9
2.4010121e9,2.4822595e9
2.2879799e9,2.3050932e9
2.5377527e9,2.2918705e9
2.4035853e9,2.3311728e9
2.5520025e9,2.2944395e9
2.5794013e9,2.4425199e9
2.8771545e9,2.3153132e9
2.5714043e9,2.3146616e9
2.6808649e9,2.502324e9
2.641045e9,2.6765334e9
3.2207426e9,2.4745339e9
2.7485186e9,2.3612633e9
2.8833345e9,2.3514708e9
3.3112295e9,2.5713195e9
2.0913123e9,2.3496189e9
2.091241e9,2.3553056e9
2.1891256e9,2.3754588e9
2.0770593e9,2.3831941e9
2.3138631e9,2.4245619e9
2.5489162e9,2.6861341e9
2.2348452e9,2.430909e9
2.0906755e9,2.4328727e9
2.50033e9,2.594199e9
2.1728294e9,2.5868978e9
2.3330102e9,2.4671507e9
1.7366415e9,2.5313659e9
1.6913238e9,2.4484313e9
1.6970453e9,2.5149744e9
1.6835093e9,2.6097389e9
1.7028874e9,2.5937111e9
1.7455212e9,2.6344689e9
2.0779484e9,2.9210486e9
2.0010275e9,2.9712723e9
1.9772756e9,3.1649724e9
2.0213522e9,3.080222e9
2.0120569e9,3.5003331e9
2.2616515e9,2.0246764e9
1.989415e9,2.0527569e9
2.1553414e9,2.0478735e9
2.0149565e9,2.7130107e9
2.0474552e9,2.5509552e9
2.0373131e9,2.4326919e9
2.0285348e9,2.6636044e9
2.0147771e9,2.6242814e9
2.2778681e9,2.4933132e9
2.0511599e9,2.5530362e9
2.1446754e9,2.4712617e9
2.0347544e9,2.7255055e9
1.996462e9,2.5928267e9
2.0798627e9,2.4600545e9
2.1103306e9,2.5041019e9
2.1433461e9,2.4327641e9
2.0560658e9,2.499611e9
2.0916219e9,2.5093941e9
2.2286352e9,2.4831602e9
2.2469729e9,2.9863153e9
2.2513115e9,2.9977735e9
2.268171e9,2.9739613e9
2.3141014e9,3.3897774e9
2.4724794e9,3.2594759e9
2.3140298e9,2.6656676e9
2.2748167e9,3.1354997e9
2.2297179e9,2.9208191e9
2.1478319e9,2.4254705e9
2.1419514e9,2.7286662e9
2.0467195e9,2.4659702e9
2.0438001e9,2.5530317e9
2.6058739e9,2.5703264e9
2.6205299e9,2.4057946e9
2.1640202e9,2.4877901e9
2.0892909e9,2.506644e9
2.08009e9,2.4909259e9
2.056134e9,2.6418326e9
2.0667848e9,2.6454061e9
2.3713387e9,2.549004e9
2.0958102e9,2.8935875e9
2.1093555e9,3.0031445e9
2.0904989e9,3.0595798e9
2.0543041e9,3.0574676e9
2.1585506e9,3.5860338e9
2.0548518e9,2.3926682e9
2.2568757e9,2.3677963e9
2.0539295e9,2.4556705e9
2.0669593e9,2.38626e9
2.0681382e9,2.4162501e9
2.0577858e9,2.4585381e9
2.0770308e9,2.4336052e9
2.1293789e9,2.6958559e9
2.1500584e9,2.4024399e9
2.2020963e9,2.4647062e9
2.1731396e9,2.4823003e9
2.0535088e9,2.5156437e9
2.0905998e9,2.5204044e9
2.5248068e9,2.4988306e9
2.1186494e9,2.6454519e9
2.0801694e9,2.503799e9
2.0499954e9,2.6617597e9
2.1062087e9,2.630151e9
2.1551799e9,2.4451933e9
2.0999907e9,2.7116138e9
2.0515246e9,2.6381338e9
2.083472e9,2.526517e9
2.1821121e9,3.1576319e9
2.1081641e9,3.0269349e9
2.1341096e9,3.1920388e9
2.0563632e9,3.0963475e9
2.0199745e9,2.4307163e9
2.0757991e9,2.4588011e9
2.0912445e9,2.4166725e9
2.121806e9,2.708785e9
2.1205621e9,2.4982517e9
2.0430767e9,2.4188953e9
1.7808333e9,2.5116686e9
1.7348385e9,2.4649267e9
1.7443922e9,2.4277262e9
1.7549082e9,2.4173449e9
1.7388001e9,2.6551138e9
1.7532528e9,2.8545044e9
1.7344265e9,2.9244146e9
1.9192754e9,2.5721007e9
2.1116182e9,2.5859869e9
2.2385911e9,2.5566669e9
2.0472366e9,2.5287303e9
2.0366048e9,2.4836555e9
2.1144416e9,2.7512707e9
2.0096487e9,2.5395109e9
2.6820952e9,2.7914725e9
2.4285517e9,3.0733622e9
2.0110627e9,3.0056797e9
2.6880707e9,3.3632664e9
2.663194e9,2.5033859e9
2.0614348e9,2.6479392e9
2.2974741e9,2.4355306e9
2.0280592e9,2.7321312e9
2.090673e9,2.7876168e9
2.0271111e9,2.4294272e9
2.1000627e9,2.476735e9
2.2115545e9,2.4565867e9
2.0919357e9,2.712495e9
2.0608131e9,2.6846786e9
2.0272793e9,2.468739e9
2.1205831e9,2.4171282e9
2.1136776e9,2.4289681e9
2.0174982e9,2.4742315e9
2.1134822e9,2.4880762e9
2.3229908e9,2.4721872e9
2.0848715e9,2.6285133e9
2.0786966e9,3.0437458e9
2.0992322e9,3.0143487e9
2.1346049e9,2.9867632e9
2.0869174e9,3.1290725e9
2.0265592e9,3.5947797e9
2.0886443e9,2.919363e9
2.0862563e9,3.0005023e9
