train_losses_dice,train_losses_dice_hd,valid_losses_dice,valid_losses_dice_hd
0.97980833,1.2489812,0.98129845,1.2525979
0.9760846,1.4097025,0.9777721,1.4169286
0.9728472,1.4666579,0.975226,1.4807405
0.9661763,1.1469564,0.96744865,1.1478717
0.95011884,268317.44,0.9506266,377416.97
0.89991754,240514.73,0.899597,213919.34
0.9264372,248436.05,0.928828,225187.88
0.6928445,284122.5,0.7049867,300546.66
0.33124202,0.57601357,0.3307361,0.5849399
0.4302681,0.6019172,0.42312723,0.6142462
0.21463597,0.6177419,0.24384171,0.63082063
0.17496881,0.62661,0.18100548,0.6396453
0.19047053,0.63162136,0.18934768,0.6446952
0.19923322,0.6343352,0.22884166,0.6475842
0.17026918,0.6358166,0.20197195,0.64898515
0.15138744,0.6365942,0.1689105,0.6499029
0.1322021,0.63697314,0.16279542,0.6503734
0.114656806,0.6371111,0.13794726,0.65054405
0.10670878,0.6371094,0.14357704,0.6505746
0.105180055,0.6370597,0.13320518,0.6505277
0.09596063,0.6369581,0.14245647,0.6504446
0.09362677,0.636795,0.13815427,0.65027714
0.092315435,0.63662285,0.12926233,0.65009093
0.120625615,0.63646495,0.14656562,0.64991426
0.09713736,0.6362982,0.14075965,0.6497243
0.119274944,0.63611484,0.16966814,0.6495201
0.18584162,0.63594174,0.1974392,0.64932394
0.091033906,0.6357662,0.1359554,0.6491215
0.08162217,0.6355899,0.11829835,0.64891773
0.08379085,0.6354073,0.13854295,0.64871275
0.075790465,0.6352241,0.11715615,0.64850134
0.07564725,0.63503623,0.12281078,0.64828396
0.068988234,0.63484573,0.11729032,0.6480714
0.075359836,0.6346658,0.12407106,0.6478644
0.07786159,0.63448066,0.1273101,0.64765006
0.068883404,0.63429224,0.11269629,0.6474331
0.07756764,0.6340902,0.13344777,0.64720714
0.06431484,0.633899,0.1180076,0.6469905
0.0751154,0.63369924,0.122997046,0.6467646
0.081425354,0.63349694,0.1303485,0.64654046
0.07642795,0.6332929,0.12497872,0.6463115
0.06745732,0.6330892,0.13543046,0.64608103
0.07683927,0.6328857,0.110783935,0.6458536
0.059799373,0.63267994,0.11937237,0.645622
0.061204106,0.63248825,0.119351506,0.6453996
0.06881805,0.63227725,0.11387676,0.6451626
0.05761932,0.6320504,0.121773124,0.6449141
0.057940766,0.6318366,0.11146432,0.64467806
0.0819035,0.6316224,0.12920201,0.64443564
0.06572795,0.63140666,0.1283772,0.64419186
0.056266874,0.63117594,0.11714035,0.64394593
0.07249595,0.6309516,0.11965054,0.6437006
0.057745844,0.630728,0.12500215,0.6434474
0.061007693,0.6305013,0.12791252,0.643195
0.05989456,0.6302667,0.10480654,0.6429476
0.057002857,0.630026,0.13068336,0.6426765
0.06706454,0.6297811,0.1353342,0.64240897
0.072990105,0.62954205,0.119561195,0.6421478
0.06703514,0.6293017,0.14189059,0.64188737
0.048245072,0.62905306,0.11323714,0.64161956
0.06944768,0.6288065,0.1277026,0.64135325
0.05935435,0.62855387,0.13169879,0.6410833
0.05448006,0.6283121,0.10176188,0.6408174
0.063544646,0.6280681,0.13646483,0.6405473
0.05598399,0.62781686,0.116173446,0.6402742
0.05032207,0.627573,0.11586791,0.6400092
0.044015333,0.62729645,0.10726333,0.63971955
0.048484296,0.6270428,0.1136781,0.63945025
0.042990953,0.6267663,0.112324834,0.6391524
0.043169037,0.6264907,0.11522895,0.6388579
0.05651468,0.6262279,0.1232422,0.6385845
0.049782187,0.6259508,0.11618668,0.63829213
0.036315754,0.62568,0.11021876,0.6380053
0.046289325,0.62539554,0.12379706,0.63770825
0.06573756,0.6251135,0.13043809,0.6374157
0.047055677,0.6248261,0.11892569,0.63711464
0.039673954,0.6245557,0.11851013,0.6368258
0.03894767,0.6242681,0.108291924,0.6365181
0.044798493,0.62397337,0.12246984,0.63621473
0.03657849,0.6236807,0.10864586,0.63590497
0.039253145,0.62337667,0.114655554,0.63559407
0.07177512,0.623072,0.12846941,0.63527614
0.03745033,0.622774,0.111993015,0.63496596
0.04706268,0.62246966,0.13049412,0.6346524
0.07349305,0.62214667,0.12440413,0.63434976
0.033869505,0.6218463,0.112087846,0.63402957
0.033767506,0.6215504,0.11641526,0.6337098
0.056100965,0.6212461,0.11440468,0.6334041
0.029548526,0.6210036,0.11656016,0.63311493
0.03050135,0.6206626,0.112897635,0.6328137
0.03950429,0.620358,0.10652095,0.6324789
0.032249615,0.6200476,0.12555486,0.63214266
0.030938387,0.619706,0.10449219,0.63179046
0.035241187,0.61936325,0.11066216,0.6314625
0.032941833,0.61904824,0.11604732,0.63112783
0.030867264,0.61871135,0.10810286,0.6307694
0.028957754,0.61839044,0.11874747,0.6305026
0.036705077,0.618054,0.10945094,0.63015234
0.024361774,0.61769664,0.11079228,0.62980026
0.024334535,0.6173514,0.1104126,0.6294446
0.039043903,0.6169891,0.11289644,0.6290742
0.023887724,0.6166434,0.11297333,0.62871873
0.02374141,0.6162846,0.107298195,0.62837803
