step_times_dice,step_times_dice_hd
9.178576876e11,2.29436875e11
3.777746e8,5.456498e8
7.011632e8,6.431484e8
5.1314689999999994e8,4.890379e8
4.28045e8,4.062551e8
6.39453e8,6.536553e8
5.0113739999999994e8,6.490938e8
4.854196e8,6.266897e8
3.920548e8,2.250078e8
5.53974e8,6.950923e8
4.705537e8,6.621685e8
4.790648e8,6.803961e8
3.535508e8,2.7046e8
5.604106e8,6.990116e8
4.635526e8,6.967724e8
4.726391e8,7.070795e8
5.127376e8,2.671678e8
6.643881e8,7.086552e8
7.359703e8,7.159611e8
7.713228e8,8.778544e8
2.761566e8,2.6206620000000003e8
8.099818e8,7.011604e8
9.862512e8,6.97545e8
4.913949e8,6.975325e8
5.981251e8,2.6783079999999997e8
4.21425e8,6.87034e8
7.574579e8,8.439568e8
6.240041e8,6.834379e8
4.416872e8,2.6091180000000003e8
4.244567e8,6.827285e8
6.461215e8,6.909644e8
7.757145e8,6.704885e8
5.598691e8,2.507737e8
4.172372e8,6.816566e8
7.901283e8,6.746159e8
7.705181e8,6.848243e8
5.959339e8,2.479393e8
7.103559e8,7.173921e8
4.698468e8,6.812307e8
6.274487e8,6.846107e8
3.890675e8,2.512007e8
7.907625e8,6.808948e8
4.618069e8,6.843708e8
9.103656e8,6.779732e8
4.21141e8,2.526637e8
4.513055e8,6.859359e8
9.871819e8,8.036556e8
7.197729e8,7.002647e8
3.741406e8,2.567683e8
9.22406e8,6.77675e8
6.033097e8,6.885951e8
9.772982e8,6.922748e8
5.534694e8,2.543739e8
7.999271e8,6.82539e8
6.476466e8,6.869451e8
5.703612e8,6.908036e8
8.707259e8,2.67214e8
4.911537e8,6.980163e8
8.303389e8,7.702939e8
4.886464e8,7.667998e8
7.727028e8,2.609769e8
5.3450790000000006e8,8.444255e8
1.0946381e9,8.47604e8
2.391962e8,7.23527e8
8.752532e8,2.819933e8
8.049611e8,6.97959e8
7.328787e8,7.03938e8
8.076496e8,7.906436e8
6.648359e8,3.122884e8
6.912956e8,6.836063e8
7.689398e8,6.821353e8
6.234473e8,6.832333e8
5.452797e8,6.813083e8
7.196019e8,5.994907e8
7.364707e8,5.672608e8
8.819822e8,5.0341100000000006e8
1.4536999e9,6.983857e8
4.566675e8,5.890186e8
6.458071e8,5.60685e8
7.55055e8,7.232302e8
3.889763e8,6.887463e8
5.981735e8,6.046789e8
4.748067e8,5.45965e8
6.293558e8,5.102287e8
3.947137e8,6.677166e8
4.792051e8,5.639974e8
6.011799e8,5.743526e8
6.161423e8,5.49239e8
3.792745e8,6.832729e8
4.791534e8,6.040019e8
7.144041e8,5.804178e8
6.162936e8,5.0776619999999994e8
3.780776e8,6.68854e8
6.185211e8,5.582762e8
4.755062e8,4.618451e8
6.049544e8,6.942188e8
3.669588e8,6.477874e8
7.859672e8,5.459944e8
4.839134e8,4.976603e8
6.770237e8,7.331198e8
4.709172e8,6.81637e8
7.900281e8,6.936718e8
6.503221e8,4.539089e8
6.376488e8,8.569164e8
2.397761e8,6.874772e8
6.371831e8,5.3389450000000006e8
6.727837e8,5.101399e8
6.851023e8,6.993974e8
2.137977e8,6.372405e8
6.244712e8,5.154113e8
6.280092e8,5.500892e8
6.243974e8,7.301317e8
2.353464e8,6.873285e8
6.200381e8,6.01045e8
6.476854e8,5.622027e8
9.972601e8,7.436228e8
2.340494e8,5.82706e8
6.090226e8,4.245198e8
6.821472e8,7.136191e8
6.476102e8,8.660529e8
2.375772e8,5.782536e8
6.860394e8,4.334568e8
7.983762e8,7.30641e8
6.110174e8,7.247993e8
2.740279e8,5.740952e8
4.875691e8,6.299993e8
4.901772e8,6.835718e8
4.848673e8,6.436996e8
2.229282e8,5.686709e8
4.839232e8,5.3040889999999994e8
4.929717e8,6.295534e8
4.915007e8,7.197981e8
2.245318e8,5.462896e8
4.886589e8,5.844618e8
4.879335e8,6.743027e8
4.959211e8,7.099203e8
2.181531e8,5.1621360000000006e8
4.84819e8,5.163173e8
4.912832e8,7.638647e8
4.89254e8,8.133433e8
2.282691e8,5.563791e8
4.92872e8,7.289325e8
4.880013e8,6.111587e8
4.93745e8,6.972408e8
2.382824e8,4.682513e8
4.838065e8,6.109746e8
4.859346e8,9.316595e8
5.374977e8,6.235835e8
2.331713e8,4.570873e8
6.352623e8,5.948591e8
6.245634e8,8.568862e8
5.849514e8,1.012216e9
2.372953e8,7.31466e8
6.030981e8,4.609198e8
5.769319e8,1.0979041e9
5.837022e8,6.809824e8
2.281834e8,6.542071e8
5.844146e8,9.392941e8
5.771107e8,7.761975e8
5.875669e8,7.952737e8
3.274001e8,7.836834e8
4.878669e8,8.517484e8
6.151508e8,7.418009e8
5.909344e8,7.029893e8
3.447028e8,7.618038e8
4.908129e8,7.667155e8
5.903736e8,8.206751e8
5.861676e8,1.1511387e9
3.287738e8,5.1850569999999994e8
4.868077e8,4.248717e8
6.041225e8,5.0445019999999994e8
8.419475e8,5.768488e8
2.272286e8,5.1412480000000006e8
5.949206e8,4.095511e8
5.831619e8,5.600883e8
5.841039e8,5.689927e8
3.457206e8,5.092983e8
7.172882e8,4.095375e8
4.796552e8,5.0874410000000006e8
6.126774e8,6.202936e8
2.248463e8,6.035361e8
5.901602e8,3.979984e8
6.078457e8,7.603558e8
5.921043e8,9.511204e8
2.326768e8,6.426268e8
5.968937e8,5.406306e8
6.071537e8,8.065436e8
6.10731e8,5.611542e8
2.373131e8,5.671091e8
5.924479e8,4.1105e8
5.9107e8,7.013985e8
6.164821e8,7.531343e8
2.237557e8,5.845776e8
6.087226e8,5.381579e8
5.953492e8,5.988058e8
6.007073e8,9.420631e8
2.301642e8,7.119532e8
5.911865e8,4.367008e8
5.786922e8,7.148869e8
