,sizes_2D,dt_min_cpu_2D,dt_std_cpu_2D
0,1,15300.0,40915.015625
1,121,19600.0,9545.0732421875
2,441,33500.0,15499.837890625
3,961,52200.0,18731.42578125
4,1681,82900.0,39332.421875
5,2601,123200.0,38442.375
6,3721,170500.0,36592.48046875
7,5041,233600.0,56557.9921875
8,6561,300200.0,54913.046875
9,8281,376900.0,69610.3203125
10,10201,472500.0,65764.5703125
11,12321,555400.0,63733.2578125
12,14641,675600.0,75612.3125
13,17161,786800.0,99261.8359375
14,19881,888000.0,102056.078125
15,22801,1041300.0,110566.78125
16,25921,1157800.0,120505.15625
17,29241,1308300.0,147249.609375
18,32761,1466500.0,131104.578125
19,36481,1629500.0,146394.5625
20,40401,1821200.0,181818.40625
21,44521,2067100.0,168831.25
22,48841,2236700.0,155038.234375
23,53361,2399900.0,159217.34375
24,58081,2572300.0,204435.515625
25,63001,2795600.0,232740.4375
26,68121,3229700.0,245195.8125
27,73441,3465600.0,279696.65625
28,78961,3678400.0,243967.796875
29,84681,4105000.0,424300.90625
30,90601,5283500.0,728235.4375
31,96721,5908000.0,604961.125
32,103041,5393600.0,759601.8125
33,109561,5412200.0,305763.03125
34,116281,5857000.0,314183.75
35,123201,5956800.0,503204.125
36,130321,6370300.0,533187.4375
37,137641,7439000.0,457133.0625
38,145161,8316700.0,515655.9375
39,152881,8272300.0,580034.1875
40,160801,8816800.0,743182.75
41,168921,9458500.0,604509.9375
42,177241,9652200.0,651506.875
43,185761,10082500.0,884145.375
44,194481,10523500.0,582851.5625
45,203401,11003900.0,620109.9375
46,212521,11652100.0,704147.625
47,221841,12153900.0,747609.625
48,231361,12588600.0,677453.0
49,241081,13307200.0,726498.1875
50,251001,13892200.0,773815.6875
