,sizes_2D,dt_mean_cpu_2D,dt_std_cpu_2D
0,3,22034.900390625,145264.484375
1,9,26141.30078125,161406.234375
2,23,36035.5,184957.78125
3,29,60892.6015625,238040.734375
4,43,95433.1953125,291276.78125
5,49,143195.015625,347596.03125
6,63,195649.609375,394033.875
7,69,260124.96875,677767.4375
8,83,330770.96875,466923.03125
9,89,412054.1875,489143.28125
10,103,507744.5625,497019.4375
11,109,654346.4375,750061.0
12,123,742690.4375,440793.90625
13,129,855614.4375,384807.4375
14,143,992839.25,793177.0
15,149,1149161.25,516119.78125
16,163,1284151.25,446407.28125
17,169,1439741.625,859697.125
18,183,1591966.0,1016359.5625
19,189,1769917.0,803029.9375
20,203,1995682.75,640135.6875
21,209,2150177.0,1116489.25
22,223,2431316.25,699994.9375
23,229,2591823.0,874072.6875
24,243,2901216.5,1341440.0
25,249,3126295.5,1281565.5
26,263,3509631.25,855619.5
27,269,3811405.5,544013.75
28,283,4178136.25,728947.3125
29,289,4426058.0,823286.375
30,303,4719635.5,1192608.625
31,309,5049331.5,938848.0625
32,323,5369389.5,6004946.0
33,329,5670530.0,6955130.5
34,343,6047011.5,7162691.5
35,349,6367929.0,7541619.0
36,363,6670220.5,7282899.0
37,369,7917906.0,7466465.5
38,383,8235264.0,7475980.0
39,389,8886262.0,6869978.5
40,403,9588228.0,6887608.5
41,409,9913456.0,6935805.0
42,423,11404913.0,6615814.0
43,429,12925269.0,5753526.5
44,443,11552575.0,1015436.9375
45,449,11870147.0,746851.3125
46,463,12449725.0,903830.9375
47,469,12918555.0,1198134.0
48,483,13422879.0,1572780.75
49,489,14003116.0,1076157.125
50,503,14685347.0,952659.875
