,time_step_dice,time_step_dice_hd
0,3151873100,1505931800
1,78227500,1333981800
2,172012100,1282280100
3,170965600,1207309600
4,27662400,1372081700
5,490093100,1191617500
6,179793800,1156751100
7,172117100,1130802900
8,27195000,1159264500
9,496763300,910146500
10,178344500,896101500
11,172319800,886270000
12,27084100,1071230900
13,497924600,897250800
14,176251300,900584900
15,170032700,858276100
16,26780500,1079626300
17,396111700,907589900
18,177803800,888324600
19,174774900,886966600
20,30819200,906386600
21,407839600,882996200
22,174210500,902239100
23,172381200,844345100
24,26997500,940966100
25,418656000,883669800
26,177231100,893231900
27,172600500,854270100
28,27580900,1092482500
29,384450400,946149700
30,174331100,887847000
31,171425200,1022281900
32,26952200,1209915300
33,432954100,1137444000
34,176923900,1119864700
35,172959500,1092869900
36,26845600,1237340900
37,514804500,1132767000
38,180500800,1082515700
39,170194700,1135503800
40,30696500,1171748100
41,424113800,1212127900
42,177576800,1270114100
43,170135100,1394624800
44,28781600,1314116200
45,470677000,1133340600
46,175259800,1104200800
47,173446600,1064906400
48,36260400,1178666200
49,487234700,1111482200
50,183225100,1089409000
51,167068900,1281661900
52,28923800,1316861400
53,431219800,1158475300
54,177051500,1124292000
55,172140200,1060022900
56,28854900,1266668900
57,417047500,1120295800
58,174666700,1098388400
59,173898700,1154042700
60,27809900,1253954300
61,417242600,1160993000
62,176755400,1118487400
63,172045400,1106870100
64,28187800,1162680700
65,474131100,1128087600
66,174128100,1105219600
67,170672600,1098003300
68,29840200,1250619600
69,365365200,1137241000
70,173715600,1090429600
71,173210000,1105474600
72,26202300,1219618300
73,452090500,1170112900
74,178363100,1144297700
75,170913100,1091560100
76,28766500,1274267200
77,470135900,1140288600
78,174415200,1120801800
79,171336200,1120847900
80,26093400,1276688400
81,418921000,1141905000
82,177660300,1129480100
83,171842700,1116383500
84,26558900,1361054100
85,435251600,1148488400
86,179868600,1107265400
87,173489600,1199442100
88,27479300,1272352800
89,471488900,1137936300
90,174802400,1153908700
91,170840400,1124512600
92,25872400,1196124400
93,370243400,1161514100
94,179148000,1091426300
95,169012800,1096903300
96,27283300,1200042400
97,413159900,1134063200
98,177728300,1136602000
99,171577400,1100024700
100,27967500,1315276500
101,500757400,1113994200
102,181273300,1124998700
103,172438400,1166615200
104,29599500,1301232200
105,381162700,1125034400
106,174397100,1123637900
107,174044700,1105368400
108,28706900,1314013600
109,517872700,1140221700
110,177317300,1151534300
111,172995000,1162004700
112,28437800,1213703100
113,379648500,1138895000
114,174326200,1105141800
115,172964900,1163432000
116,25528200,1160820900
117,478377400,1153198800
118,176617500,1139279600
119,172641600,1237343900
120,27472100,1240584500
121,453306400,1122742600
122,171514300,1098059400
123,170826800,1163533900
124,25957000,1572261200
125,493124800,1517328200
126,178629000,1463950100
127,173004000,1466219800
128,27909300,1307788700
